,player_name,total_runs,outs,balls_played,average_runs,strike_rate
389,DAJ Bracewell,12,0,9,0.0,133.33333333333334
390,DJ Harris,111,4,103,27.75,107.76699029126213
391,GB Hogg,22,3,22,7.333333333333333,100.0
392,RR Bhatkal,0,1,2,0.0,0.0
393,CJ McKay,8,1,15,8.0,53.333333333333336
394,N Saini,143,11,147,13.0,97.27891156462584
395,Azhar Mahmood,388,19,311,20.42105263157895,124.7588424437299
396,RJ Peterson,32,3,32,10.666666666666666,100.0
397,KMDN Kulasekara,5,0,3,0.0,166.66666666666666
398,A Ashish Reddy,280,15,196,18.666666666666668,142.85714285714286
399,V Pratap Singh,0,1,1,0.0,0.0
400,BB Samantray,125,5,116,25.0,107.75862068965517
401,MJ Clarke,98,6,96,16.333333333333332,102.08333333333333
402,Gurkeerat Singh,446,24,353,18.583333333333332,126.34560906515581
403,AP Majumdar,87,4,77,21.75,112.98701298701299
404,PA Reddy,164,10,167,16.4,98.20359281437126
405,K Upadhyay,12,0,9,0.0,133.33333333333334
406,P Awana,5,2,14,2.5,35.714285714285715
407,AD Russell,1441,42,801,34.30952380952381,179.90012484394506
408,A Chandila,4,0,7,0.0,57.142857142857146
409,Sunny Gupta,0,1,1,0.0,0.0
410,MC Juneja,125,7,134,17.857142857142858,93.28358208955224
411,GH Vihari,280,18,323,15.555555555555555,86.687306501548
412,MDKJ Perera,14,2,13,7.0,107.6923076923077
413,R Shukla,19,1,23,19.0,82.6086956521739
414,B Laughlin,5,2,13,2.5,38.46153846153846
415,BMAJ Mendis,23,3,27,7.666666666666667,85.18518518518519
416,R Rampaul,51,5,52,10.2,98.07692307692308
417,SMSM Senanayake,10,1,17,10.0,58.8235294117647
418,BJ Rohrer,193,6,145,32.166666666666664,133.10344827586206
419,KL Rahul,2013,47,1465,42.829787234042556,137.4061433447099
420,Q de Kock,1489,48,1136,31.020833333333332,131.07394366197184
421,R Dhawan,153,7,135,21.857142857142858,113.33333333333333
422,LJ Wright,106,5,63,21.2,168.25396825396825
423,IC Pandey,0,1,2,0.0,0.0
424,CM Gautam,169,10,158,16.9,106.9620253164557
425,X Thalaivan Sargunam,10,1,17,10.0,58.8235294117647
426,DJG Sammy,295,15,251,19.666666666666668,117.52988047808765
427,KW Richardson,36,3,39,12.0,92.3076923076923
428,UA Birla,7,1,15,7.0,46.666666666666664
429,Parvez Rasool,17,2,20,8.5,85.0
430,PV Tambe,18,2,39,9.0,46.15384615384615
431,NJ Maddinson,20,3,21,6.666666666666667,95.23809523809524
432,JDS Neesham,42,3,46,14.0,91.30434782608695
433,MA Starc,96,7,98,13.714285714285714,97.95918367346938
434,BR Dunk,40,3,36,13.333333333333334,111.11111111111111
435,RR Rossouw,53,5,51,10.6,103.92156862745098
436,Shivam Sharma,5,1,3,5.0,166.66666666666666
437,VH Zol,29,2,26,14.5,111.53846153846153
438,BE Hendricks,1,1,3,1.0,33.333333333333336
439,S Gopal,131,9,120,14.555555555555555,109.16666666666667
440,M de Lange,1,1,2,1.0,50.0
441,JO Holder,38,5,32,7.6,118.75
442,Karanveer Singh,12,1,17,12.0,70.58823529411765
443,SA Abbott,15,2,13,7.5,115.38461538461539
444,J Suchith,54,2,48,27.0,112.5
445,RG More,2,0,2,0.0,100.0
446,D Wiese,127,4,94,31.75,135.10638297872342
447,SN Khan,416,15,291,27.733333333333334,142.9553264604811
448,DJ Muthuswami,1,1,3,1.0,33.333333333333336
449,C Munro,180,12,144,15.0,125.0
450,P Sahu,19,1,13,19.0,146.15384615384616
451,KJ Abbott,13,1,8,13.0,162.5
452,M Ashwin,4,3,8,1.3333333333333333,50.0
453,NS Naik,23,2,33,11.5,69.6969696969697
454,PSP Handscomb,6,1,12,6.0,50.0
455,J Yadav,6,2,12,3.0,50.0
456,UT Khawaja,127,6,105,21.166666666666668,120.95238095238095
457,F Behardien,14,2,13,7.0,107.6923076923077
458,BB Sran,11,1,14,11.0,78.57142857142857
459,S Kaushik,0,1,1,0.0,0.0
460,ER Dwivedi,24,2,15,12.0,160.0
461,E Lewis,464,16,343,29.0,135.27696793002914
462,M Wood,3,1,5,3.0,60.0
463,R Singh,73,6,68,12.166666666666666,107.3529411764706
464,D Short,123,7,102,17.571428571428573,120.58823529411765
465,K Gowtham,148,12,86,12.333333333333334,172.09302325581396
466,T Curran,24,3,28,8.0,85.71428571428571
467,M Markande,31,3,30,10.333333333333334,103.33333333333333
468,B Stanlake,5,0,2,0.0,250.0
469,M Ur Rahman,12,2,11,6.0,109.0909090909091
470,A Dananjaya,4,0,5,0.0,80.0
471,S Gill,517,15,384,34.46666666666667,134.63541666666666
472,S Mavi,13,3,15,4.333333333333333,86.66666666666667
473,Mohammed Siraj,34,3,38,11.333333333333334,89.47368421052632
474,H Klaasen,68,5,58,13.6,117.24137931034483
475,R Bhui,8,2,18,4.0,44.44444444444444
476,J Archer,85,7,62,12.142857142857142,137.09677419354838
477,P Shaw,616,25,435,24.64,141.60919540229884
478,L Plunkett,1,1,3,1.0,33.333333333333336
479,Mustafizur Rahman,1,1,3,1.0,33.333333333333336
480,A Hales,152,6,119,25.333333333333332,127.73109243697479
481,M Lomror,28,2,24,14.0,116.66666666666667
482,D Shorey,16,2,20,8.0,80.0
483,M Ali,311,12,183,25.916666666666668,169.94535519125682
484,P Krishna,1,1,7,1.0,14.285714285714286
485,P Chopra,8,1,6,8.0,133.33333333333334
486,J Searles,8,1,6,8.0,133.33333333333334
487,I Sodhi,10,2,18,5.0,55.55555555555556
488,S Hetmyer,93,5,76,18.6,122.36842105263158
489,S Dube,40,3,33,13.333333333333334,121.21212121212122
490,J Bairstow,468,8,293,58.5,159.7269624573379
491,C Ingram,187,10,157,18.7,119.10828025477707
492,K Paul,22,5,26,4.4,84.61538461538461
493,R Salam,5,0,4,0.0,125.0
494,N Pooran,177,6,110,29.5,160.9090909090909
495,N Naik,8,1,17,8.0,47.05882352941177
496,H Vihari,4,2,8,2.0,50.0
497,P R Barman,20,1,25,20.0,80.0
498,S Curran,95,4,55,23.75,172.72727272727272
499,H Viljoen,6,2,7,3.0,85.71428571428571
500,Avesh Khan,4,0,3,0.0,133.33333333333334
501,S Lamichhane,0,1,1,0.0,0.0
502,S Sharma,8,0,4,0.0,200.0
503,H Gurney,1,0,5,0.0,20.0
504,SD Lad,15,1,13,15.0,115.38461538461539
505,A Joseph,15,0,13,0.0,115.38461538461539
506,R Parag,169,5,133,33.8,127.06766917293233
507,M Santner,35,1,25,35.0,140.0
508,J Denly,0,1,1,0.0,0.0
509,L Livingstone,72,3,48,24.0,150.0
510,K Ahmed,0,1,1,0.0,0.0
511,A Turner,4,3,11,1.3333333333333333,36.36363636363637
512,H Brar,22,0,14,0.0,157.14285714285714
513,S Rutherford,82,5,55,16.4,149.0909090909091
514,P Raj,0,0,1,0.0,0.0
515,S Singh,17,1,18,17.0,94.44444444444444
